agent_id,o_zone_id,d_zone_id,o_node_id,d_node_id,agent_type,PCE,time_period,distance,travel_time,node_sequence,time_sequence
1545,21,37,6253,1349,1,1.0000,0700:21_0700:21,2.646,5.448,6253;5868;5174;5587;11259;5214;6256;5232;5219;1349;,0700:18;0701:08;0701:27;0701:57;0702:38;0702:51;0703:41;0704:19;0704:55;0705:48;
1546,9,25,5356,1355,1,1.0000,0757:53_0757:53,1.902,4.605,5356;5216;11507;5175;11257;11184;5588;5215;11183;1355;,0757:48;0758:19;0758:53;0759:05;0759:37;0800:27;0800:53;0801:11;0801:35;0802:30;
1547,11,22,5119,3689,1,1.0000,0727:31_0727:31,1.370,2.972,5119;5727;5118;10854;7210;11763;5730;8172;6185;5175;11507;3689;,0727:30;0727:38;0727:50;0728:04;0728:14;0728:25;0728:42;0729:09;0729:51;0730:03;0730:16;0730:30;
1548,27,16,1346,11827,1,1.0000,0742:20_0742:20,3.575,6.761,1346;11172;5112;5589;5114;11161;5103;5820;11147;5022;4952;5440;11827;,0742:18;0743:03;0743:26;0743:49;0744:12;0744:37;0745:08;0746:13;0746:47;0747:00;0747:56;0748:40;0749:06;
1549,12,11,11151,5119,1,1.0000,0749:23_0749:23,1.936,4.301,11151;5109;4804;5106;5117;11255;5118;5727;5119;,0749:18;0749:50;0750:21;0750:54;0752:46;0753:00;0753:21;0753:34;0753:42;
1550,2,3,11123,11159,1,1.0000,0755:25_0755:25,2.020,2.976,11123;5017;11146;5736;11148;5113;11160;5112;11159;,0755:24;0755:51;0756:12;0756:33;0756:52;0757:21;0757:39;0757:57;0758:24;
1551,3,34,11159,1322,1,1.0000,0747:32_0747:32,0.725,1.451,11159;5112;5589;1322;,0747:30;0747:56;0748:19;0749:00;
1552,9,41,5356,5578,1,1.0000,0755:09_0755:09,6.729,12.745,5356;5216;5868;5174;5587;11259;5214;6256;5232;5219;11173;5114;11161;5103;5820;11147;5022;4952;5440;11125;5436;5578;,0755:06;0755:34;0756:26;0756:46;0757:16;0757:57;0758:10;0759:00;0759:38;0800:14;0801:19;0801:49;0802:14;0802:45;0803:49;0804:23;0804:37;0805:33;0806:17;0806:45;0807:10;0807:54;
1553,34,16,1319,11827,1,1.0000,0741:45_0741:45,1.428,2.849,1319;11124;5022;4952;5440;11827;,0741:42;0742:20;0742:34;0743:30;0744:14;0744:36;
1554,27,24,1346,1325,1,1.0000,0725:20_0725:20,2.871,5.764,1346;11172;5112;5589;5114;5592;1;2;3;4;5;5117;11255;5118;11910;10853;1325;,0725:18;0726:03;0726:26;0726:48;0727:12;0727:54;0728:07;0728:21;0728:34;0728:48;0729:02;0729:15;0729:29;0729:51;0730:11;0730:36;0731:06;
1555,26,24,1323,1325,1,1.0000,0701:00_0701:00,1.771,3.984,1323;5592;1;2;3;4;5;5117;11255;5118;11910;10853;1325;,0701:00;0701:47;0702:00;0702:14;0702:28;0702:41;0702:55;0703:08;0703:22;0703:44;0704:04;0704:29;0705:00;
1556,34,11,1322,5119,1,1.0000,0739:54_0739:54,2.059,4.090,1322;5589;5114;5592;1;2;3;4;5;5117;11255;5118;5727;5119;,0739:54;0740:32;0740:56;0741:37;0741:51;0742:05;0742:18;0742:32;0742:46;0742:59;0743:13;0743:35;0743:47;0744:00;
