name,road_link_id,from_node_id,to_node_id,direction,length,lanes,free_speed,capacity,link_type,link_type_name,jam_density,demand_type_code,count_sensor_id,speed_sensor_id
700 West,0,5010,5027,1,0.31237,1,35,857,3,Principal arterial,1269,,,
Holden St,0,5010,5240,1,0.13471,2,36,814,3,Principal arterial,1270,,,
Connector,0,11129,1299,1,0.3637,7,21,10000,1,Zone Connector,1271,,,
7800 South,0,5017,11123,1,0.2622,2,36,814,3,Principal arterial,1272,,,
7800 South,0,5017,11124,1,0.3644,2,36,814,3,Principal arterial,1273,,,
Connector,0,11146,1314,1,0.2758,7,21,10000,1,Zone Connector,1274,,,
7800 South,0,5022,5524,1,0.1988,2,36,814,3,Principal arterial,1275,,,
7800 South,0,5022,11124,1,0.1398,2,36,814,3,Principal arterial,1276,,,
Center St,0,5027,5009,1,0.1508,2,36,814,3,Principal arterial,1277,,,
700 West,0,5027,5010,1,0.31237,1,35,857,3,Principal arterial,1278,,,
Connector,0,11148,1316,1,0.2608,7,21,10000,1,Zone Connector,1279,,,
Connector,0,11148,1320,1,0.2527,7,21,10000,1,Zone Connector,1280,,,
Center St,0,5027,11129,1,0.1417,2,36,814,3,Principal arterial,1281,,,
700 West,0,5030,4958,1,0.15809,2,36,814,3,Principal arterial,1282,,,
7000 South,0,5030,10872,1,0.18159,2,36,814,3,Principal arterial,1283,,,
7200 South,0,5030,11128,1,0.13451,2,29,814,3,Principal arterial,1284,,,
Center St,0,5034,11129,1,0.27834,2,36,814,3,Principal arterial,1285,,,
7200 South,0,5037,11128,1,0.33214,2,29,814,3,Principal arterial,1286,,,
Connector,0,11160,1318,1,0.2384,7,21,10000,1,Zone Connector,1287,,,
South Jordan,0,5174,5587,1,0.2961,2,36,814,3,Principal arterial,1288,,,
South Jordan,0,5174,5868,1,0.1943,2,36,814,3,Principal arterial,1289,,,
Connector,0,11161,1322,1,0.267,7,21,10000,1,Zone Connector,1290,,,
South Jordan,0,5208,11261,1,0.2147,2,36,814,3,Principal arterial,1291,,,
10400 South,0,5208,11282,1,0.2666,1,35,857,3,Principal arterial,1292,,,
Connector,0,11172,1346,1,0.2518,7,21,10000,1,Zone Connector,1293,,,
Connector,0,11172,1353,1,0.2395,7,21,10000,1,Zone Connector,1294,,,
South Jordan,0,5214,11259,1,0.1306,2,36,814,3,Principal arterial,1295,,,
South Jordan,0,5214,11261,1,0.2844,2,36,814,3,Principal arterial,1296,,,
Connector,0,11173,1353,1,0.2648,7,21,10000,1,Zone Connector,1297,,,
Connector,0,11173,1354,1,0.3067,7,20,10000,1,Zone Connector,1298,,,
South Jordan,0,5216,5356,1,0.1926,2,27,773,3,Principal arterial,1299,,,
South Jordan,0,5216,5868,1,0.3901,2,27,773,3,Principal arterial,1300,,,
