link_id,from_node_id,to_node_id,time_period,volume,CA,CD,queue,travel_time,waiting_time_in_sec,speed,notes
2,3,4,0703:00_0704:00,83.000,168.000,84.000,1.000,1.013,0.771,59.239,simulation-based
2,3,4,0704:00_0705:00,83.000,251.000,167.000,1.000,1.003,0.155,59.846,simulation-based
2,3,4,0705:00_0706:00,84.000,335.000,251.000,0.000,1.016,0.988,59.028,simulation-based
2,3,4,0706:00_0707:00,83.000,418.000,334.000,1.000,1.011,0.631,59.376,simulation-based
2,3,4,0707:00_0708:00,81.000,502.000,415.000,3.000,1.042,2.530,57.572,simulation-based
2,3,4,0708:00_0709:00,85.000,585.000,500.000,2.000,1.024,1.429,58.605,simulation-based
2,3,4,0709:00_0710:00,83.000,669.000,583.000,2.000,1.011,0.663,59.345,simulation-based
2,3,4,0710:00_0711:00,84.000,752.000,667.000,2.000,1.012,0.720,59.289,simulation-based
2,3,4,0711:00_0712:00,84.000,834.000,751.000,1.000,1.024,1.440,58.593,simulation-based
2,3,4,0712:00_0713:00,82.000,918.000,833.000,1.000,1.012,0.732,59.277,simulation-based
2,3,4,0713:00_0714:00,82.000,1000.000,915.000,3.000,1.009,0.548,59.457,simulation-based
2,3,4,0714:00_0715:00,84.000,1084.000,999.000,1.000,1.010,0.578,59.427,simulation-based
2,3,4,0715:00_0716:00,84.000,1167.000,1083.000,1.000,1.013,0.753,59.256,simulation-based
2,3,4,0716:00_0717:00,84.000,1252.000,1167.000,0.000,1.039,2.361,57.728,simulation-based
2,3,4,0717:00_0718:00,82.000,1335.000,1249.000,3.000,1.009,0.548,59.457,simulation-based
2,3,4,0718:00_0719:00,85.000,1419.000,1334.000,1.000,1.006,0.383,59.620,simulation-based
2,3,4,0719:00_0720:00,85.000,1500.000,1419.000,0.000,1.022,1.321,58.707,simulation-based
2,3,4,0720:00_0721:00,81.000,1584.000,1500.000,0.000,1.008,0.488,59.516,simulation-based
2,3,4,0721:00_0722:00,81.000,1668.000,1581.000,3.000,1.011,0.631,59.376,simulation-based
2,3,4,0722:00_0723:00,86.000,1752.000,1667.000,1.000,1.011,0.675,59.333,simulation-based
2,3,4,0723:00_0724:00,83.000,1835.000,1750.000,2.000,1.018,1.071,58.947,simulation-based
2,3,4,0724:00_0725:00,84.000,1919.000,1834.000,1.000,1.007,0.410,59.593,simulation-based
2,3,4,0725:00_0726:00,85.000,2002.000,1919.000,0.000,1.009,0.554,59.451,simulation-based
2,3,4,0726:00_0727:00,82.000,2085.000,2001.000,1.000,1.015,0.915,59.099,simulation-based
2,3,4,0727:00_0728:00,84.000,2167.000,2085.000,0.000,1.004,0.226,59.775,simulation-based
2,3,4,0728:00_0729:00,82.000,2251.000,2167.000,0.000,1.004,0.250,59.751,simulation-based
2,3,4,0729:00_0730:00,82.000,2335.000,2249.000,2.000,1.023,1.405,58.627,simulation-based
2,3,4,0730:00_0731:00,85.000,2419.000,2334.000,1.000,1.016,0.938,59.077,simulation-based
2,3,4,0731:00_0732:00,81.000,2499.000,2415.000,4.000,1.004,0.259,59.742,simulation-based
2,3,4,0732:00_0733:00,84.000,2584.000,2499.000,0.000,1.009,0.548,59.457,simulation-based
2,3,4,0733:00_0734:00,85.000,2668.000,2584.000,0.000,1.008,0.458,59.546,simulation-based
2,3,4,0734:00_0735:00,82.000,2751.000,2666.000,2.000,1.009,0.548,59.457,simulation-based
2,3,4,0735:00_0736:00,85.000,2835.000,2751.000,0.000,1.006,0.341,59.660,simulation-based
